NAME;LON;LAT;DATE;TMIN;TMAX;HUMIN;HUMAX;HU;T;WEATHER;WD;WS
Padalarang;107.4876940990033;-6.831381937278132;2023-12-30 06:10:00;;;;;75.0;30.0;3;E;30.0
Cimahi Tengah;107.51880142051368;-6.875980787682956;2023-12-30 06:10:00;;;;;75.0;30.0;2;E;30.0
Gedebage;107.70199270996326;-6.970279269974214;2023-12-30 06:10:00;;;;;75.0;30.0;2;E;30.0
Cikalongwetan;107.43152880634769;-6.771660059155639;2023-12-30 06:10:00;;;;;70.0;33.0;4;E;30.0
Sukatani;107.407062515771;-6.597862106349128;2023-12-30 06:10:00;;;;;70.0;33.0;63;E;30.0
Cikalongwetan;107.40751726799049;-6.7196635705208925;2023-12-30 06:10:00;;;;;70.0;33.0;4;E;30.0
Tambun selatan;107.03917019533992;-6.27072394119741;2023-12-30 06:10:00;;;;;75.0;33.0;1;E;30.0
Cikarang Selatan;107.12147565396378;-6.304839681188385;2023-12-30 06:10:00;;;;;70.0;33.0;4;E;30.0
Cikarang Barat;107.07131776512044;-6.282507034865825;2023-12-30 06:10:00;;;;;70.0;33.0;3;E;30.0
Jatinegara;106.89093312753003;-6.243496821716255;2023-12-30 06:10:00;;;;;85.0;28.0;63;N;10.0
Pondok Gede;106.91217886582;-6.257783811192343;2023-12-30 06:10:00;;;;;70.0;33.0;60;E;30.0
Telukjambe Barat;107.21293874423344;-6.359022779262479;2023-12-30 06:10:00;;;;;70.0;33.0;60;E;30.0
Bandung Kidul;107.62051628437608;-6.961654613452838;2023-12-30 06:10:00;;;;;75.0;30.0;1;E;30.0
Cimahi Selatan;107.54122979510078;-6.911363635085763;2023-12-30 06:10:00;;;;;75.0;30.0;2;E;30.0
Bojongloa Kidul;107.5826503982401;-6.9614513302453;2023-12-30 06:10:00;;;;;75.0;30.0;3;E;30.0
Purwakarta;107.42360504175475;-6.556923095034327;2023-12-30 06:10:00;;;;;70.0;33.0;4;E;30.0
Ciampel;107.34773873733867;-6.467973957676957;2023-12-30 06:10:00;;;;;70.0;33.0;61;E;30.0
Pangkalan;107.2713989022874;-6.402601880267991;2023-12-30 06:10:00;;;;;70.0;33.0;61;E;30.0
Sukatani;107.39723442910196;-6.640214483023732;2023-12-30 06:10:00;;;;;70.0;33.0;63;E;30.0
Darangdan;107.40382573168534;-6.674769702569559;2023-12-30 06:10:00;;;;;70.0;33.0;2;E;30.0
Padalarang;107.45440815598592;-6.80378811837799;2023-12-30 06:10:00;;;;;75.0;30.0;3;E;30.0
Bekasi Selatan;106.99006546825365;-6.2533335822765554;2023-12-30 06:10:00;;;;;75.0;33.0;2;E;30.0
Stasiun Halim;106.88424333422508;-6.245634562509662;2023-12-30 06:10:00;;;;;85.0;28.0;63;N;10.0
Stasiun Karawang;107.2194301976805;-6.364950825654365;2023-12-30 06:10:00;;;;;70.0;33.0;60;E;30.0
Stasiun Padalarang;107.49636720343504;-6.84199588878808;2023-12-30 06:10:00;;;;;75.0;30.0;1;E;30.0
Stasiun Tegalluar;107.71545399902575;-6.964283151191192;2023-12-30 06:10:00;;;;;75.0;30.0;4;E;30.0
